"";"state.division";"state.area"
"Alabama";"East South Central";51609
"Alaska";NA;589757
"Arizona";"Mountain";113909
"Arkansas";"West South Central";53104
"California";NA;158693
"Colorado";"Mountain";104247
"Connecticut";"New England";5009
"Delaware";"South Atlantic";2057
"Florida";"South Atlantic";58560
"Georgia";"South Atlantic";NA
"Hawaii";"Pacific";6450
"Idaho";"Mountain";83557
"Illinois";"East North Central";56400
"Indiana";"East North Central";36291
"Iowa";"West North Central";56290
"Kansas";"West North Central";82264
"Kentucky";"East South Central";40395
"Louisiana";"West South Central";48523
"Maine";"New England";33215
"Maryland";"South Atlantic";10577
"Massachusetts";"New England";8257
"Michigan";"East North Central";58216
"Minnesota";"West North Central";84068
"Mississippi";"East South Central";47716
"Missouri";"West North Central";69686
"Montana";"Mountain";147138
"Nebraska";"West North Central";77227
"Nevada";"Mountain";110540
"New Hampshire";"New England";9304
"New Jersey";"Middle Atlantic";NA
"New Mexico";"Mountain";121666
"New York";"Middle Atlantic";49576
"North Carolina";"South Atlantic";52586
"North Dakota";"West North Central";70665
"Ohio";"East North Central";41222
"Oklahoma";"West South Central";69919
"Oregon";"Pacific";96981
"Pennsylvania";"Middle Atlantic";45333
"Rhode Island";"New England";1214
"South Carolina";"South Atlantic";31055
"South Dakota";"West North Central";77047
"Tennessee";"East South Central";42244
"Texas";"West South Central";267339
"Utah";NA;84916
"Vermont";"New England";9609
"Virginia";"South Atlantic";40815
"Washington";"Pacific";68192
"West Virginia";"South Atlantic";24181
"Wisconsin";"East North Central";56154
"Wyoming";"Mountain";97914
